Title|Product_Type|Brand|Price|unique_id|Price_Cat
Levis 511 Slim Fit Jeans|Jeans|Levis|60.0|20|<100
Calvin Klein Men's Dress Shirt|Shirt|Calvin Klein|45.0|21|<100
Nike Dri-FIT Men's Training Shorts|Shorts|Nike|35.0|22|<100
Adidas Essentials 3-Stripes Hoodie|Hoodie|Adidas|50.0|23|<100
Under Armour Women's Sports Bra|Sports Bra|Under Armour|25.0|24|<100
The North Face Borealis Backpack|Backpack|The North Face|90.0|25|<100
Le Creuset Cast Iron Skillet|Skillet|Le Creuset|100.0|26|100-200
Instant Pot Duo 6 Quart Pressure Cooker|Pressure Cooker|Instant Pot|80.0|27|<100
Char-Griller Patio Pro Charcoal Grill|Charcoal Grill|Char-Griller|150.0|28|100-200
Dyson V8 Animal Cordless Vacuum Cleaner|Vacuum Cleaner|Dyson|300.0|29|300-400
Nespresso VertuoPlus Coffee and Espresso Machine|Coffee Machine|Nespresso|150.0|30|100-200
Keurig K-Mini Single Serve Coffee Maker|Coffee Maker|Keurig|80.0|31|<100
Cuisinart 14-Cup Food Processor|Food Processor|Cuisinart|200.0|32|200-300
Oster 6-Slice Toaster Oven|Toaster Oven|Oster|70.0|33|<100
Shark Navigator Lift-Away Professional|Vacuum Cleaner|Shark|200.0|34|200-300
Brother HL-L2350DW Compact Monochrome Laser Printer|Printer|Brother|100.0|35|100-200
AmazonBasics Microfiber Sheet Set|Sheet Set|AmazonBasics|30.0|36|<100
Rivet Modern Leather Loveseat|Loveseat|Rivet|500.0|37|500-600
Zinus Memory Foam 12 Inch Green Tea Mattress|Mattress|Zinus|300.0|38|300-400
Ikea Hemnes 8-Drawer Dresser|Dresser|Ikea|250.0|39|200-300
Wayfair Basics 1800 Series Sheet Set|Sheet Set|Wayfair Basics|25.0|40|<100
Columbia Women's Benton Springs Full Zip Fleece Jacket|Fleece Jacket|Columbia|45.0|41|<100
Levi's Men's Sherpa Trucker Jacket|Jacket|Levi's|80.0|42|<100
UGG Women's Classic Short II Boot|Boots|UGG|150.0|43|100-200
Crocs Classic Clog|Clogs|Crocs|40.0|44|<100
Sperry Men's Authentic Original Boat Shoe|Boat Shoe|Sperry|80.0|45|<100
Clarks Women's Breeze Sea Flip Flop|Flip Flop|Clarks|30.0|46|<100
Calvin Klein Men's Underwear Cotton Classics Multipack Boxer Briefs|Boxer Briefs|Calvin Klein|35.0|47|<100
Hanes Men's Long Sleeve Beefy Henley Shirt|Henley Shirt|Hanes|20.0|48|<100
Dickies Men's Original 874 Work Pant|Work Pant|Dickies|25.0|49|<100
Levi's Women's 721 High Rise Skinny Jeans|Skinny Jeans|Levi's|50.0|50|<100
Skechers Women's D'Lites Memory Foam Lace-up Sneaker|Sneaker|Skechers|60.0|51|<100
New Balance Men's Fresh Foam Roav V1 Sneaker|Sneaker|New Balance|70.0|52|<100
Cole Haan Men's Grand Crosscourt II Sneakers|Sneakers|Cole Haan|90.0|53|<100
Converse Chuck Taylor All Star Low Top Sneaker|Sneaker|Converse|55.0|54|<100
Vans Unisex Old Skool Classic Skate Shoes|Skate Shoes|Vans|65.0|55|<100
Samsung 70 Inch Class 6 Series LED 4K UHD Smart Tizen TV|TV|Samsung|900.0|56|900-1000
LG 65 Inch Class CX Series OLED 4K UHD Smart webOS TV|TV|LG|1400.0|57|>=1000
Sony X800H 55 Inch TV|TV|Sony|600.0|58|600-700
TCL 32 Inch 3-Series HD Roku Smart TV|TV|TCL|150.0|59|100-200
Logitech C920x Pro HD Webcam|Webcam|Logitech|70.0|60|<100
Ring Video Doorbell 3|Doorbell|Ring|200.0|61|200-300
August Smart Lock Pro|Smart Lock|August|220.0|62|200-300
Eufy RoboVac 11S MAX|Robotic Vacuum|Eufy|250.0|63|200-300
Bissell Cleanview Swivel Pet Upright Bagless Vacuum Cleaner|Vacuum Cleaner|Bissell|120.0|64|100-200
Roku Express HD Streaming Media Player|Streaming Device|Roku|30.0|65|<100
Apple TV 4K|Streaming Device|Apple|180.0|66|100-200
Fire TV Stick 4K Streaming Device with Alexa Voice Remote|Streaming Device|Amazon|50.0|67|<100
Amazon Echo Dot (4th Gen) Smart Speaker with Alexa|Smart Speaker|Amazon|30.0|68|<100
Google Nest Mini (2nd Generation) Smart Speaker with Google Assistant|Smart Speaker|Google|35.0|69|<100
Sonos One (Gen 2) Smart Speaker|Smart Speaker|Sonos|180.0|70|100-200
Bose SoundLink Color Bluetooth Speaker|Bluetooth Speaker|Bose|120.0|71|100-200
JBL Flip 5 Waterproof Portable Bluetooth Speaker|Bluetooth Speaker|JBL|100.0|72|100-200
Beats Solo Pro Wireless Noise Cancelling On-Ear Headphones|Headphones|Beats|250.0|73|200-300
Sony WF-1000XM3 True Wireless Noise Cancelling Earbuds|Earbuds|Sony|200.0|74|200-300
